x,y,label
-1.98,-1.94,class_a
-1.50,-1.45,class_a
-2.31,-1.55,class_a
-2.27,-1.18,class_a
-1.60,-1.75,class_a
-2.36,-1.01,class_a
-1.62,-1.01,class_a
-1.67,-1.02,class_a
-1.52,-1.68,class_a
-2.41,-1.56,class_a
-2.30,-1.91,class_a
-1.41,-1.73,class_a
-2.31,-2.08,class_a
-2.49,-1.49,class_a
-2.11,-1.74,class_a
-1.47,-1.33,class_a
-1.72,-1.36,class_a
-2.02,-1.45,class_a
-2.02,-0.97,class_a
-2.30,-0.98,class_a
-2.57,-0.95,class_a
-1.58,-1.04,class_a
-1.96,-1.48,class_a
-2.23,-2.00,class_a
-1.95,-1.40,class_a
2.02,-1.34,class_b
2.12,-0.91,class_b
2.49,-1.35,class_b
2.25,-0.78,class_b
1.81,-1.18,class_b
2.19,-0.88,class_b
2.35,-0.57,class_b
1.40,-1.16,class_b
1.46,-1.17,class_b
1.95,-1.20,class_b
2.53,-0.74,class_b
2.19,-1.14,class_b
1.83,-1.05,class_b
2.23,-1.27,class_b
1.66,-0.50,class_b
2.04,-0.64,class_b
2.24,-1.33,class_b
2.46,-1.04,class_b
1.81,-0.68,class_b
1.58,-1.50,class_b
2.30,-0.59,class_b
1.90,-1.07,class_b
1.57,-0.98,class_b
2.25,-0.61,class_b
2.41,-0.47,class_b
-0.98,1.77,class_c
-1.26,2.14,class_c
-0.91,2.55,class_c
-1.43,2.12,class_c
-0.58,1.89,class_c
-1.47,1.74,class_c
-0.68,2.37,class_c
-1.33,2.40,class_c
-1.36,1.85,class_c
-0.70,1.67,class_c
-0.84,1.74,class_c
-1.20,1.94,class_c
-1.03,2.48,class_c
-1.25,1.45,class_c
-1.57,2.04,class_c
-1.46,2.54,class_c
-0.81,2.40,class_c
-1.26,1.86,class_c
-1.37,2.11,class_c
-1.54,1.68,class_c
-1.02,2.28,class_c
-0.43,2.60,class_c
-0.71,2.02,class_c
-1.48,2.08,class_c
-1.43,1.75,class_c
2.52,1.88,class_d
3.07,2.18,class_d
2.19,2.24,class_d
2.58,2.02,class_d
2.33,1.95,class_d
2.58,2.56,class_d
2.79,2.31,class_d
2.45,1.76,class_d
2.33,1.87,class_d
1.96,1.53,class_d
2.29,2.41,class_d
3.10,2.03,class_d
2.61,1.81,class_d
2.97,2.37,class_d
2.90,1.59,class_d
2.75,1.53,class_d
2.65,1.92,class_d
2.71,1.77,class_d
1.96,1.89,class_d
3.03,1.85,class_d
2.16,2.15,class_d
2.54,2.07,class_d
2.32,2.02,class_d
2.50,1.77,class_d
2.43,2.18,class_d
