method,seed,score
baseline,1,80.1
baseline,2,79.4
baseline,3,80.6
baseline,4,79.9
baseline,5,80.3
baseline,6,79.1
baseline,7,80.8
baseline,8,80.0
baseline,9,79.6
baseline,10,80.4
baseline,11,79.8
baseline,12,80.9
baseline,13,79.3
baseline,14,80.2
baseline,15,80.5
baseline,16,79.7
baseline,17,80.7
baseline,18,79.5
baseline,19,80.0
baseline,20,80.2
sft,1,81.9
sft,2,80.6
sft,3,82.4
sft,4,81.2
sft,5,83.1
sft,6,80.9
sft,7,82.8
sft,8,81.6
sft,9,80.3
sft,10,82.1
sft,11,81.4
sft,12,83.4
sft,13,80.8
sft,14,82.6
sft,15,81.1
sft,16,82.9
sft,17,80.5
sft,18,81.8
sft,19,82.3
sft,20,81.5
ours,1,83.6
ours,2,84.1
ours,3,83.3
ours,4,84.4
ours,5,83.8
ours,6,84.0
ours,7,83.5
ours,8,84.6
ours,9,83.9
ours,10,84.2
ours,11,83.4
ours,12,84.5
ours,13,83.7
ours,14,84.3
ours,15,83.2
ours,16,84.7
ours,17,83.9
ours,18,84.1
ours,19,83.6
ours,20,84.0
